City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Malkangiri,IN,2022-02-03 23:15:35,18.35,81.9,62.62,90,6,0.72
252,Hambantota,LK,2022-02-03 23:15:35,6.1241,81.1185,72.97,85,1,6.46
253,Tazovskiy,RU,2022-02-03 23:15:35,67.4667,78.7,1.62,97,100,7.54
254,Williamsburg,US,2022-02-03 23:15:36,37.2707,-76.7075,66.25,78,0,9.22
255,Lagoa Vermelha,BR,2022-02-03 23:15:36,-28.2086,-51.5258,75.38,42,68,2.84
256,San Cristobal,VE,2022-02-03 23:15:37,7.7669,-72.225,77.18,51,78,1.19
257,Krasnyy Bor,RU,2022-02-03 23:15:37,59.6819,30.6681,1.15,100,97,1.34
258,Santo Antonio Do Ica,BR,2022-02-03 23:11:14,-3.1022,-67.9397,75.42,97,99,2.08
259,Havelock,US,2022-02-03 23:15:38,34.8791,-76.9013,66.43,79,100,4.0
260,Okato,NZ,2022-02-03 23:15:38,-39.2,173.8833,74.91,75,49,17.58
261,Kirillov,RU,2022-02-03 23:15:39,59.863,38.3813,-5.35,100,100,1.43
262,Martapura,ID,2022-02-03 23:15:39,-3.4167,114.85,75.29,100,20,2.3
263,Ust-Nera,RU,2022-02-03 23:15:40,64.5667,143.2,-18.65,99,99,3.53
264,Safford,US,2022-02-03 23:15:40,32.834,-109.7076,51.93,19,0,2.21
265,Sarishabari,BD,2022-02-03 23:15:40,24.7333,89.8333,61.54,78,18,8.43
266,Gayny,RU,2022-02-03 23:15:41,60.3071,54.3241,-0.45,100,100,3.11
267,Lorengau,PG,2022-02-03 23:15:41,-2.0226,147.2712,80.55,80,100,4.16
268,Upernavik,GL,2022-02-03 23:16:18,72.7868,-56.1549,2.05,66,100,4.0
269,Severnyy,RU,2022-02-03 23:16:42,50.677,36.5532,28.44,93,100,4.47
270,Port Blair,IN,2022-02-03 23:16:42,11.6667,92.75,71.64,94,40,0.0
